date,new_cases,new_deaths,total_cases,total_deaths
2020-04-07,66,0,1375,6
2020-04-08,106,0,1481,6
2020-04-09,142,0,1623,6
2020-04-10,286,0,1909,6
2020-04-11,0,0,1909,6
2020-04-12,390,2,2299,8
2020-04-13,233,0,2532,8
2020-04-14,386,1,2918,9
2020-04-15,334,1,3252,10
2020-04-16,447,0,3699,10
2020-04-17,728,0,4427,10
2020-04-18,623,1,5050,11
2020-04-19,942,0,5992,11
2020-04-20,596,0,6588,11
2020-04-21,1426,0,8014,11
2020-04-22,1111,0,9125,11
2020-04-23,1016,1,10141,12
2020-04-24,1037,0,11178,12
2020-04-25,897,0,12075,12
2020-04-26,618,0,12693,12
2020-04-27,931,0,13624,12
2020-04-28,799,2,14423,14
2020-04-29,528,0,14951,14
2020-04-30,690,0,15641,14
2020-05-01,528,1,16169,15
2020-05-02,932,1,17101,16
2020-05-03,447,1,17548,17
2020-05-04,657,1,18205,18
2020-05-05,573,0,18778,18
2020-05-06,632,0,19410,18
2020-05-07,788,2,20198,20
2020-05-08,741,0,20939,20
2020-05-09,768,0,21707,20
2020-05-10,753,0,22460,20
2020-05-11,876,0,23336,20
2020-05-12,451,1,23787,21
2020-05-13,884,0,24671,21
2020-05-14,675,0,25346,21
2020-05-15,752,0,26098,21
2020-05-16,793,0,26891,21
2020-05-17,465,1,27356,22
2020-05-18,682,0,28038,22
2020-05-19,305,0,28343,22
2020-05-20,451,0,28794,22
2020-05-21,570,0,29364,22
2020-05-22,448,1,29812,23
2020-05-23,614,0,30426,23
2020-05-24,642,0,31068,23
2020-05-25,548,0,31616,23
2020-05-26,344,0,31960,23
2020-05-27,383,0,32343,23
2020-05-28,533,0,32876,23
2020-05-29,373,0,33249,23
2020-05-30,611,0,33860,23
2020-05-31,506,0,34366,23
2020-06-01,518,0,34884,23
