date,new_cases,new_deaths,total_cases,total_deaths
2020-06-02,408,1,35292,24
2020-06-03,544,0,35836,24
2020-06-04,569,0,36405,24
2020-06-05,517,0,36922,24
2020-06-06,261,0,37183,24
2020-06-07,344,1,37527,25
2020-06-08,383,0,37910,25
2020-06-09,386,0,38296,25
2020-06-10,218,0,38514,25
2020-06-11,451,0,38965,25
2020-06-12,422,0,39387,25
2020-06-13,463,0,39850,25
2020-06-14,347,1,40197,26
2020-06-15,407,0,40604,26
2020-06-16,214,0,40818,26
2020-06-17,151,0,40969,26
2020-06-18,247,0,41216,26
